,enginesize,horsepower
0,130,111
1,130,111
2,152,154
3,109,102
4,136,115
5,136,110
6,136,110
7,136,110
8,131,140
9,131,160
10,108,101
11,108,101
12,164,121
13,164,121
14,164,121
15,209,182
16,209,182
17,209,182
18,61,48
19,90,70
20,90,70
21,90,68
22,90,68
23,98,102
24,90,68
25,90,68
26,90,68
27,98,102
28,122,88
29,156,145
30,92,58
31,92,76
32,79,60
33,92,76
34,92,76
35,92,76
36,92,76
37,110,86
38,110,86
39,110,86
40,110,86
41,110,101
42,110,100
43,111,78
44,90,70
45,90,70
46,119,90
47,258,176
48,258,176
49,326,262
50,91,68
51,91,68
52,91,68
53,91,68
54,91,68
55,70,101
56,70,101
57,70,101
58,80,135
59,122,84
60,122,84
61,122,84
62,122,84
63,122,64
64,122,84
65,140,120
66,134,72
67,183,123
68,183,123
69,183,123
70,183,123
71,234,155
72,234,155
73,308,184
74,304,184
75,140,175
76,92,68
77,92,68
78,92,68
79,98,102
80,110,116
81,122,88
82,156,145
83,156,145
84,156,145
85,122,88
86,122,88
87,110,116
88,110,116
89,97,69
90,103,55
91,97,69
92,97,69
93,97,69
94,97,69
95,97,69
96,97,69
97,97,69
98,97,69
99,120,97
100,120,97
101,181,152
102,181,152
103,181,152
104,181,160
105,181,200
106,181,160
107,120,97
108,152,95
109,120,97
110,152,95
111,120,95
112,152,95
113,120,95
114,152,95
115,120,97
116,152,95
117,134,142
118,90,68
119,98,102
120,90,68
121,90,68
122,98,68
123,122,88
124,156,145
125,151,143
126,194,207
127,194,207
128,194,207
129,203,288
130,132,90
131,132,90
132,121,110
133,121,110
134,121,110
135,121,110
136,121,160
137,121,160
138,97,69
139,108,73
140,108,73
141,108,82
142,108,82
143,108,94
144,108,82
145,108,111
146,108,82
147,108,94
148,108,82
149,108,111
150,92,62
151,92,62
152,92,62
153,92,62
154,92,62
155,92,62
156,98,70
157,98,70
158,110,56
159,110,56
160,98,70
161,98,70
162,98,70
163,98,70
164,98,70
165,98,112
166,98,112
167,146,116
168,146,116
169,146,116
170,146,116
171,146,116
172,146,116
173,122,92
174,110,73
175,122,92
176,122,92
177,122,92
178,171,161
179,171,161
180,171,156
181,161,156
182,97,52
183,109,85
184,97,52
185,109,85
186,109,85
187,97,68
188,109,100
189,109,90
190,109,90
191,136,110
192,97,68
193,109,88
194,141,114
195,141,114
196,141,114
197,141,114
198,130,162
199,130,162
200,141,114
201,141,160
202,173,134
203,145,106
204,141,114
