Date,Albedo,Battery voltage,Cellular signal quality,Cellular signal strength,5-minute cellular data usage,NR01 heater duty cycle,Incoming longwave radiation,Net longwave radiation,Outgoing longwave radiation,Pressure,Sea level pressure,Rainfall,Maximum rain intensity,Minutely rainfall,Rain gauge tip,Minutely rain gauge tips,Relative humidity_ sensor 1,Maximum relative humidity_ sensor 1,Minimum relative humidity_ sensor 1,Relative humidity_ sensor 2,Maximum relative humidity_ sensor 1,Minimum relative humidity_ sensor 1,Enclosure relative humidity,Net incoming radiation,Net radiation,Net outgoing radiation,Soil heat flux_ sensor 1,Surface soil heat flux,Soil moisture_ sensor 1,Soil moisture_ sensor 2,Soil moisture_ sensor 3,Incoming shortwave radiation,Net shortwave radiation,Outgoing shortwave radiation,Air temperature_ sensor 1,Maximum air temperature_ sensor 1,Minimum air temperature_ sensor 1,Air temperature_ sensor 2,Maximum air temperature_ sensor 2,Minimum air temperature_ sensor 2,Logger panel temperature,NR01 sensor body temperature,Sky temperature,Soil temperature_ sensor 1,Maximum soil temperature,Minimum soil temperature,Soil temperature_ sensor 2,Soil temperature_ sensor 3,Soil temperature_ sensor 4,Surface temperature,Vapor pressure deficit_ sensor 1,Vapor pressure deficit_ sensor 2,Vapor pressure_ sensor 1,Vapor pressure_ sensor 2,Saturation vapor pressure_ sensor 1,Saturation vapor pressure_ sensor 2,Wind direction standard deviation,Wind direction standard deviation_ wind speed weighted,Resultant vector wind direction,Unit vector average wind direction,Maximum wind gust,Mean wind speed,Maximum wind speed,Resultant vector wind speed
2024-03-07T00:15:00Z,0.153,12.9,-9,-100,,0,138.6079,-72.67617,211.2841,101.07,101.8842,0,0,,0,,83.9,85.4,0,83.7,85.4,0,82,879.4385,555.6661,323.7725,9.06,-9.89,0.169,0.144,0.143,740.8306,628.3422,112.4884,21.65,21.81,0,21.65,21.81,0,22.92,-127.4875,,28.3249,28.36,28.27,29.93,29.1,28.45,-60.23,0.416,0.421,2.175,2.17,2.591,2.591,26.86,27.29,354,354.6,15.49,9.95,16.16,8.85
2024-03-07T00:20:00Z,0.154,12.99,-9,-100,0.1132813,0,386.3613,-71.54979,457.9111,101.02,101.8342,0,0,,0,,83.4,84.7,81.9,83.2,84.7,81.9,54.98,1133.468,560.4497,573.0187,9.04,-20.96,0.195,0.167,0.166,747.1071,631.9995,115.1077,21.82,21.95,21.64,21.82,21.96,21.66,23.04,22.36501,14.15,28.29346,28.36,28.21,29.95,29.08,28.48,26.62,0.433,0.438,2.181,2.176,2.614,2.615,25.42,26.37,351.8,352.4,14.27,9.72,14.83,8.77
2024-03-07T00:25:00Z,0.151,13.3,-9,-100,32.36328,0,376.3207,-89.61407,465.9348,100.99,101.8042,0,0,,0,,81.8,84,79.55,81.6,84,79.55,35.79,1231.267,635.4544,595.813,9.01,-95,0.196,0.167,0.166,854.9468,725.0685,129.8783,22.11,22.22,21.93,22.12,22.24,21.93,23.54,22.7361,12.27,28.18717,28.21,28.18,29.96,29.05,28.47,27.93,0.485,0.49,2.176,2.172,2.661,2.662,26.37,27.05,355.2,355.5,13.05,9.73,13.83,8.7
2024-03-07T00:30:00Z,0.152,13.3,-9,-100,0.1035156,0,374.2631,-97.42506,471.6882,100.98,101.7943,0,0,,0,,79.24,81.3,77.67,79.11,81.3,77.67,29.95,1239.223,636.3389,602.8843,8.99,32.35,0.196,0.168,0.166,864.96,733.764,131.1961,22.4,22.66,22.19,22.4,22.67,22.19,24.05,23.06812,11.88,28.21134,28.23,28.19,29.97,29.02,28.53,28.85,0.562,0.566,2.145,2.142,2.707,2.707,18.71,18.1,358.8,359.3,14.27,9.38,15.33,8.88
2024-03-07T00:35:00Z,0.151,13.29,-9,-100,42.87793,0,386.9525,-86.17265,473.1252,100.98,101.7943,0,0,,0,,77.81,79.14,76.26,77.69,79.14,76.26,26.31,1148.917,559.8341,589.0828,8.98,62.33,0.196,0.168,0.166,761.9643,646.0068,115.9575,22.6,22.74,22.49,22.61,22.74,22.5,24.53,23.42222,14.25,28.2662,28.31,28.23,29.99,29.02,28.48,29.08,0.608,0.612,2.133,2.13,2.742,2.742,27.44,28.19,355.6,356.2,14.77,10.11,14.83,8.95
2024-03-07T00:40:00Z,0.152,13.26,-9,-100,0.1044922,0,387.8295,-86.47113,474.3006,100.98,101.7943,0,0,,0,,77.52,79.02,75.13,77.38,79.02,75.13,24.27,1177.095,582.0598,595.0355,8.97,109.9,0.196,0.168,0.166,789.2659,668.531,120.7349,22.57,22.7,22.45,22.58,22.71,22.47,24.93,23.39219,14.42,28.36972,28.42,28.31,30,28.99,28.48,29.27,0.615,0.619,2.121,2.118,2.736,2.738,19.33,19.5,351.9,352.2,15.16,10.62,16.16,10.01
2024-03-07T00:45:00Z,0.152,12.89,-9,-100,0.1015625,0,406.9473,-57.60946,464.5568,100.98,101.7943,0,0,,0,,79.82,81.6,77.28,79.68,81.6,77.28,22.61,852.7933,320.2546,532.5387,8.96,110.9,0.196,0.168,0.166,445.8459,377.864,67.98193,22.36,22.58,22.07,22.36,22.58,22.07,25.26,23.14211,17.9,28.47419,28.52,28.42,30,28.97,28.48,27.7,0.545,0.549,2.156,2.153,2.701,2.701,26.56,27.06,350.2,350.5,14.44,9.89,15.33,8.83
2024-03-07T00:50:00Z,0.151,13.24,-9,-100,0.09863281,0,373.5862,-88.97981,462.566,100.98,101.7943,0,0,,0,,80.2,81.7,77.22,80.1,81.7,77.22,21.02,1010.382,450.2118,560.1707,8.96,109.8,0.196,0.168,0.166,636.7963,539.1916,97.60464,21.96,22.08,21.84,21.96,22.09,21.82,25.44,22.62273,11.74,28.57755,28.62,28.52,29.98,28.97,28.48,27.37,0.522,0.525,2.115,2.112,2.637,2.637,27.48,28.4,0.921,1.492,14.94,9.76,15.83,8.64
2024-03-07T00:55:00Z,0.153,13.08,-9,-100,26.54785,0,384.7446,-89.01971,473.7643,100.99,101.8042,0,0,,0,,80.3,82,78.33,80.1,82,78.33,19.86,1203.347,603.8483,599.4985,8.96,74.28,0.196,0.168,0.166,818.6022,692.868,125.7343,22.08,22.21,21.97,22.09,22.2,21.97,25.55,22.88617,13.83,28.64437,28.68,28.62,30,28.95,28.49,29.18,0.524,0.528,2.132,2.129,2.656,2.657,27.45,26.96,356.2,356.7,16.27,10.15,17.33,8.98
2024-03-07T01:00:00Z,0.155,13.31,-9,-100,49.23828,0,397.4594,-73.57405,471.0335,100.98,101.7943,0,0,,0,,79.73,81.9,77.97,79.62,81.9,77.97,18.86,1119.897,536.1864,583.7109,8.96,89.4,0.196,0.169,0.167,722.4379,609.7605,112.6774,22.36,22.59,22.18,22.36,22.6,22.19,25.58,23.00253,16.19,28.72688,28.76,28.68,29.98,28.93,28.5,28.74,0.547,0.551,2.154,2.151,2.701,2.701,26.97,26.61,356.8,357.5,15.16,10.5,15.83,9.33
